hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018341065.1	1154717	1155001	+	0.899
GCF_001515625.1_SAMN03320098_v1.1_genomic	NW_015641013.1	178366	178582	+	0.728
GCF_000003205.7_Btau_5.0.1_genomic	NC_007310.6	12150415	12150701	+	0.999
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	45311155	45311370	-	0.835
GCF_000400835.1_PHO1.0_genomic	NW_005817458.1	3169296	3169565	-	0.553
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344056.1	5490054	5490274	+	0.696
GCF_000981445.1_Bbig001_genomic	NW_012237381.1	493	712	-	0.821
GCF_000648675.1_Clec_1.0_genomic	NW_014465018.1	5696177	5696392	+	0.700
GCF_000298735.2_Oar_v4.0_genomic	NC_019467.2	12413753	12414043	+	0.909
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013657795.1	287227	287445	-	0.728
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494917.1	160968	161258	+	0.871
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006534631.1	156704	156917	-	0.757
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014881542.1	398	617	+	0.826
GCF_001704415.1_ARS1_genomic	NC_030819.1	12799019	12799310	-	0.907
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015163167.1	11489	11708	+	0.714
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785696.1	1494649	1494917	-	0.808
GCF_000002295.2_MonDom5_genomic	NC_008803.1	345462776	345463071	-	0.591
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393680.1	7965	8264	-	0.573
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015427912.1	308	538	+	0.732
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032661.1	10711662	10711948	+	0.795
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003849623.1	482922	483179	+	0.598
GCF_000765115.1_Oori1_genomic	NW_011942485.1	473629	473920	-	0.914
