hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268874	269494	-	0.695
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	164	1205	+	0.645
GCF_000003205.7_Btau_5.0.1_genomic	NC_007316.6	54878748	54879825	-	0.881
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005781644.1	7976	9026	+	0.751
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393065.1	4132	5124	-	0.780
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	1	563	-	0.631
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000251	34001032	-	0.684
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	137	1139	+	0.706
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2166982	2167794	+	0.536
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011472019.1	1432	2358	-	0.754
