hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268920	269519	-	0.739
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	304	1245	+	0.671
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006882915.1	745296	746206	-	0.636
GCF_001888835.1_ASM188883v1_genomic	NW_017739295.1	18302	18859	-	0.578
GCF_000003205.7_Btau_5.0.1_genomic	NC_007316.6	54878544	54879451	-	0.981
GCF_000956105.1_Pcoq_1.0_genomic	NW_012153186.1	225412	226195	-	0.535
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005440651.1	24240	25164	-	0.767
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392848.1	229666	230591	+	0.771
GCF_000181275.1_SorAra2.0_genomic	NW_004545907.1	5446210	5446842	-	0.607
GCF_000223135.1_CriGri_1.0_genomic	NW_003617353.1	34060	34947	-	0.572
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000193	34001066	-	0.613
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011482211.1	8000	8947	-	0.725
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	23	950	+	0.704
