hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268889	269486	-	0.622
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	616	1487	+	0.757
GCF_000003205.7_Btau_5.0.1_genomic	NW_014649658.1	247	1316	+	0.781
GCF_000151885.1_Dord_2.0_genomic	NW_012267331.1	1789430	1790212	-	0.537
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005499796.1	7	981	-	0.730
GCF_000002265.2_Rn_Celera_genomic	AC_000074.1	119697548	119698192	+	0.515
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	381909	382626	-	0.573
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	14823	15811	-	0.791
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	5	564	-	0.604
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000261	34000976	-	0.713
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011481358.1	4045	5018	-	0.768
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	380	1335	+	0.734
