hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018328039.1	1781902	1782115	-	0.752
GCF_000003205.7_Btau_5.0.1_genomic	NC_007308.6	29659937	29660152	+	0.716
GCF_001704415.1_ARS1_genomic	NC_030827.1	5987347	5987561	-	0.726
GCF_000400835.1_PHO1.0_genomic	NW_005810400.1	1180023	1180229	-	0.746
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784502.1	154848	155061	-	0.734
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393258.1	9610	9825	+	0.704
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	123450955	123451166	-	0.752
GCF_000331955.2_Oorc_1.1_genomic	NW_004438700.1	71281	71495	-	0.721
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496519	18496709	+	0.712
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	14747	14975	-	0.755
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032674.1	33343504	33343710	+	0.743
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494673.1	2794926	2795139	+	0.726
GCF_000765115.1_Oori1_genomic	NW_011942245.1	3121428	3121640	+	0.728
