hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336039.1	140636	140880	-	0.576
GCF_002288925.1_ASM228892v2_genomic	NW_019160911.1	8859000	8859202	-	0.729
GCF_000003205.7_Btau_5.0.1_genomic	NC_007326.6	27653401	27653608	+	0.993
GCF_000400835.1_PHO1.0_genomic	NW_005809633.1	2878049	2878243	-	0.661
GCF_000298735.2_Oar_v4.0_genomic	NC_019466.2	72096021	72096206	-	0.594
GCF_000331955.2_Oorc_1.1_genomic	NW_004438655.1	1767045	1767258	+	0.674
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017843449.1	549110	549243	+	0.667
GCF_000493695.1_BalAcu1.0_genomic	NW_006727098.1	1153018	1153243	-	0.670
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006788893.1	73571	73804	+	0.637
GCF_000472045.1_Physeter_macrocephalus-2.0.2_genomic	NW_006724208.1	145705	145949	-	0.669
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494644.1	12088650	12088854	+	0.681
GCF_001704415.1_ARS1_genomic	NC_030835.1	43631680	43631878	-	0.648
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785395.1	3077308	3077509	-	0.780
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392856.1	209702	209910	-	0.990
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032674.1	29058884	29059091	+	0.856
GCF_000987745.1_ASM98774v1_genomic	NW_015963782.1	1126	1336	-	0.717
GCF_000765115.1_Oori1_genomic	NW_011942359.1	1693399	1693584	+	0.594
