hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135607	1136183	+	0.629
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015069433.1	419	901	-	0.911
GCF_000003205.7_Btau_5.0.1_genomic	NC_007311.6	83707461	83708124	-	0.794
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005541655.1	323	933	-	0.727
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	50102	50548	+	0.555
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393618.1	1827567	1828280	+	0.807
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	43	570	+	0.561
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032659.1	68659695	68660161	-	0.897
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	8	452	-	0.729
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494854.1	1476520	1477016	-	0.877
