hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	519	1267	+	0.692
GCF_000001895.5_Rnor_6.0_genomic	NC_005105.4	12263108	12263733	+	0.547
GCF_000003205.7_Btau_5.0.1_genomic	NC_007313.6	7283944	7284692	-	1.000
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	856965	857682	-	0.538
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005440651.1	24428	25164	-	0.769
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	27162	27910	-	0.992
GCF_000002265.2_Rn_Celera_genomic	AC_000074.1	132886887	132887512	-	0.547
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	381999	382644	-	0.557
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	4	564	-	0.575
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000380	34001072	-	0.640
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011493453.1	11865	12629	+	0.886
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	29	754	+	0.700
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2167157	2167791	+	0.507
