hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014855203.1	262	897	+	0.677
GCF_000500345.1_Pman_1.0_genomic	NW_006501584.1	1116606	1117359	-	0.655
GCF_000003205.7_Btau_5.0.1_genomic	NC_007299.6	12267356	12268124	-	0.955
GCF_001704415.1_ARS1_genomic	NC_030808.1	14370041	14370617	-	0.798
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013902.1	2191340	2191925	+	0.575
GCF_000400835.1_PHO1.0_genomic	NW_005805951.1	1070923	1071518	-	0.709
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785117.1	164725	165676	+	0.713
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395544.1	1005060	1005953	-	0.770
GCF_000003025.6_Sscrofa11.1_genomic	NC_010449.5	766685	767416	+	0.563
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494609.1	7917701	7918537	+	0.849
GCF_000765115.1_Oori1_genomic	NW_011942411.1	1066576	1067179	-	0.525
GCF_000209225.1_ASM20922v1_genomic	NW_001834183.1	323091	323847	+	0.705
