hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335809.1	1205112	1205396	-	0.501
GCF_000935625.1_ASM93562v1_genomic	NW_017306269.1	5520543	5520920	+	0.802
GCF_001949145.1_OKI-Apl_1.0_genomic	NW_019091379.1	236808	237078	+	0.717
GCF_000003205.7_Btau_5.0.1_genomic	NC_007310.6	13987187	13987584	+	0.998
GCF_000283155.1_CerSimSim1.0_genomic	NW_004454172.1	10174486	10174803	+	0.585
GCF_000147115.1_Myoluc2.0_genomic	NW_005871522.1	328923	329299	+	0.590
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784517.1	182203	182553	-	0.548
GCF_002021735.1_Okis_V1_genomic	NW_018089705.1	352135	352499	-	0.705
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393728.1	711056	711413	+	0.613
GCF_000308155.1_EptFus1.0_genomic	NW_007370788.1	118531	118834	+	0.593
GCF_000003025.6_Sscrofa11.1_genomic	NC_010447.5	99144135	99144388	-	0.674
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032661.1	12808856	12809252	+	0.996
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494917.1	2001583	2001962	+	0.917
GCF_000233375.1_ICSASG_v2_genomic	NC_027317.1	38947723	38948108	-	0.704
