hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018342920.1	294728	294997	-	0.708
GCF_000003205.7_Btau_5.0.1_genomic	NC_007309.6	10474811	10475087	+	0.699
GCF_000400835.1_PHO1.0_genomic	NW_005815807.1	1287287	1287563	+	0.864
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018343956.1	17914927	17915200	+	0.678
GCF_000298735.2_Oar_v4.0_genomic	NC_019477.2	49986690	49986964	+	0.710
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658693.1	276886	277077	-	0.786
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495064.1	11155388	11155664	+	0.699
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015066458.1	2	263	+	0.633
GCF_001704415.1_ARS1_genomic	NC_030822.1	26361385	26361657	+	0.685
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785836.1	1530470	1530684	+	0.713
GCF_000002295.2_MonDom5_genomic	NC_008801.1	477451710	477451989	+	0.682
GCF_000696695.1_Burgud_genomic	NW_007673391.1	241185	241389	+	0.633
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393889.1	86865	87141	-	0.696
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015387991.1	195432	195699	-	0.700
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	10740794	10741070	+	0.696
GCF_000241765.3_Chrysemys_picta_bellii-3.0.3_genomic	NW_007290080.1	474	671	-	0.847
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003838755.1	1462979	1463256	-	0.692
GCF_000765115.1_Oori1_genomic	NW_011944372.1	48455	48629	-	0.888
GCF_000951615.1_common_carp_genome_genomic	NW_017539629.1	22645	22833	-	0.810
