hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335012.1	306167	306426	-	0.524
GCF_000003205.7_Btau_5.0.1_genomic	NC_007327.6	50926146	50926419	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030836.1	2755248	2755555	-	0.500
GCF_000400835.1_PHO1.0_genomic	NW_005816904.1	1317746	1318018	+	0.584
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005783804.1	77128	77374	+	0.519
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393970.1	191340	191614	-	0.980
GCF_000298735.2_Oar_v4.0_genomic	NC_019473.2	2560421	2560707	+	0.560
GCF_000331955.2_Oorc_1.1_genomic	NW_004438700.1	615144	615408	+	0.647
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017843947.1	25033883	25034147	+	0.648
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006782062.1	927592	927886	-	0.662
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	2641	2922	+	0.748
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032651.1	9857067	9857351	-	0.548
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495018.1	29952825	29953091	-	0.948
GCF_000765115.1_Oori1_genomic	NW_011942378.1	333943	334212	-	0.573
