hit_species	chr	start	end	strand	identity
GCF_000003205.7_Btau_5.0.1_genomic	NC_007299.6	41264011	41264208	-	1.000
GCF_000321355.1_PcynB_1.0_genomic	NW_004193181.1	369	496	+	0.703
GCF_000260355.1_ConCri1.0_genomic	NW_004567115.1	2256252	2256416	-	0.587
GCF_000181295.1_OtoGar3_genomic	NW_003852523.1	5633784	5633985	-	0.637
GCF_000317375.1_MicOch1.0_genomic	NC_022012.1	39052713	39052904	+	0.595
GCF_002204375.1_MunDraft-v1.0_genomic	NW_018661429.1	19841	20039	-	0.586
GCF_000457365.1_ASM45736v1_genomic	NW_013516355.1	142397	142520	-	0.702
GCF_000002265.2_Rn_Celera_genomic	AC_000084.1	6213865	6214067	+	0.627
GCF_000534875.1_SCA1_genomic	NW_008129941.1	1	142	-	0.709
GCF_000224145.2_KH_genomic	NW_004190415.2	3360	3566	-	0.733
GCF_000223135.1_CriGri_1.0_genomic	NW_003613745.1	1210086	1210286	-	0.652
GCF_000764305.1_Hazt_2.0_genomic	NW_017250805.1	497598	497804	-	0.710
GCF_000151735.1_Cavpor3.0_genomic	NT_176409.1	17071052	17071239	-	0.620
GCF_000001895.5_Rnor_6.0_genomic	NC_005115.4	80648912	80649114	-	0.627
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006881374.1	2792370	2792565	-	0.533
GCF_000283155.1_CerSimSim1.0_genomic	NW_004454185.1	606184	606398	-	0.580
GCF_000769185.1_Rrox_v1_genomic	NW_010830548.1	204804	204999	-	0.637
GCF_000002305.2_EquCab2.0_genomic	NC_009151.2	64512486	64512700	-	0.575
GCF_000208655.1_Dasnov3.0_genomic	NW_004470692.1	258983	259165	+	0.654
GCF_000296755.1_EriEur2.0_genomic	NW_006805051.1	152705	152861	-	0.566
GCF_000233375.1_ICSASG_v2_genomic	NC_027317.1	32486623	32486820	+	0.715
