hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135596	1136218	+	0.592
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	1	1157	-	0.618
GCF_000003205.7_Btau_5.0.1_genomic	NC_007327.6	51875444	51876477	-	0.807
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104021810	104022467	+	0.527
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005688377.1	2377	3374	-	0.709
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394887.1	2475467	2476463	-	0.983
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49915	50648	+	0.563
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	16	570	+	0.621
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255643	76256442	+	0.674
GCF_000296755.1_EriEur2.0_genomic	NW_006804119.1	531991	532542	+	0.521
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011483787.1	8224	9174	-	0.734
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	1	786	-	0.717
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	22184610	22185190	-	0.568
